1703529000000,43625.72000000,43650.00000000,43625.71000000,43648.34000000,59.48921000,1703529299999,2596153.56337220,4499,32.63020000,1423998.92925750,0
1703529300000,43648.34000000,43648.34000000,43615.22000000,43618.82000000,54.68108000,1703529599999,2385869.54070760,3503,18.90629000,824901.07552330,0
1703529600000,43618.82000000,43624.93000000,43589.92000000,43624.93000000,70.50833000,1703529899999,3074789.75759940,3239,30.50248000,1330151.78383070,0
1703529900000,43624.92000000,43636.12000000,43558.64000000,43558.65000000,69.83322000,1703530199999,3044824.42213870,3483,27.95892000,1219154.38340930,0
1703530200000,43558.64000000,43560.36000000,43427.53000000,43463.88000000,199.32944000,1703530499999,8665184.35103740,7438,65.61244000,2851785.15254900,0
1703530500000,43463.88000000,43480.00000000,43370.19000000,43449.76000000,167.21414000,1703530799999,7261593.88483550,6445,84.19913000,3656799.29500500,0
1703530800000,43449.76000000,43453.46000000,43399.18000000,43417.89000000,152.87224000,1703531099999,6638681.34839760,5046,72.49260000,3148410.34926880,0
1703531100000,43417.88000000,43450.54000000,43417.88000000,43433.07000000,108.94896000,1703531399999,4732133.14185890,3947,50.21245000,2180813.68162070,0
1703531400000,43433.07000000,43471.58000000,43423.86000000,43469.99000000,84.81330000,1703531699999,3685009.73531190,3452,56.03671000,2434843.36880920,0
1703531700000,43469.98000000,43477.21000000,43418.80000000,43445.95000000,124.38874000,1703531999999,5404337.97922130,3777,56.78715000,2467297.31985870,0
1703532000000,43445.96000000,43446.40000000,43343.83000000,43406.37000000,174.25496000,1703532299999,7559368.77300540,5719,76.36473000,3312344.28632310,0
1703532300000,43406.37000000,43439.83000000,43384.47000000,43439.82000000,96.15080000,1703532599999,4173138.76632470,3690,44.38156000,1926395.93186780,0
1703532600000,43439.83000000,43449.62000000,43421.10000000,43421.10000000,103.06894000,1703532899999,4476883.63601330,3403,44.27148000,1922996.76807430,0
1703532900000,43421.10000000,43439.50000000,43400.00000000,43426.46000000,114.47704000,1703533199999,4970596.76053600,3541,55.67679000,2417354.94971210,0
1703533200000,43426.47000000,43473.69000000,43426.46000000,43473.68000000,85.80531000,1703533499999,3728000.25970480,2615,68.04756000,2956475.12789990,0
1703533500000,43473.68000000,43486.88000000,43436.42000000,43456.60000000,121.88047000,1703533799999,5297095.04217220,3235,63.70236000,2768249.07618240,0
1703533800000,43456.60000000,43485.49000000,43449.62000000,43485.49000000,67.40462000,1703534099999,2930365.25794230,2373,34.08703000,1481789.81989130,0
1703534100000,43485.48000000,43509.27000000,43473.88000000,43474.25000000,126.55485000,1703534399999,5504141.51618770,3440,62.43287000,2715446.72124450,0
1703534400000,43474.25000000,43494.00000000,43450.00000000,43479.99000000,124.41072000,1703534699999,5408309.73192010,4696,63.26889000,2750390.04350070,0
1703534700000,43480.00000000,43491.13000000,43427.54000000,43439.50000000,73.96496000,1703534999999,3214766.07290160,3231,20.28689000,881848.24354350,0
1703535000000,43439.49000000,43476.76000000,43364.87000000,43396.73000000,177.48444000,1703535299999,7705973.54248690,6698,86.09582000,3738003.89902450,0
1703535300000,43396.72000000,43468.48000000,43388.32000000,43466.59000000,61.67286000,1703535599999,2678295.52232150,2990,34.34099000,1491144.48349990,0
1703535600000,43466.59000000,43472.67000000,43372.80000000,43393.95000000,103.63370000,1703535899999,4499507.55415770,4042,44.32339000,1923700.27153940,0
1703535900000,43393.95000000,43443.09000000,43393.95000000,43406.54000000,112.50062000,1703536199999,4884194.37358420,3648,63.33817000,2749716.43047510,0
1703536200000,43406.54000000,43442.27000000,43376.65000000,43393.31000000,121.29962000,1703536499999,5265320.97677330,4348,52.19114000,2265182.17398010,0
1703536500000,43393.32000000,43408.57000000,43333.00000000,43362.22000000,140.18407000,1703536799999,6079628.14415370,5740,67.02123000,2906647.26549610,0
1703536800000,43362.21000000,43380.00000000,43328.14000000,43334.00000000,89.41761000,1703537099999,3876785.80712470,4212,44.65288000,1936107.94371100,0
1703537100000,43334.00000000,43382.46000000,43332.13000000,43375.49000000,112.59912000,1703537399999,4881779.23977560,3714,64.04788000,2777156.39971480,0
1703537400000,43375.48000000,43385.74000000,43347.65000000,43377.99000000,87.32369000,1703537699999,3787432.38504040,2767,42.87780000,1859673.49520500,0
1703537700000,43378.00000000,43418.00000000,43371.10000000,43418.00000000,44.64205000,1703537999999,1937458.08638360,2369,26.52341000,1151066.15121570,0
1703538000000,43418.00000000,43425.24000000,43387.98000000,43408.29000000,79.22057000,1703538299999,3438961.08550400,3599,26.11959000,1133776.12804770,0
1703538300000,43408.29000000,43438.70000000,43359.92000000,43359.93000000,153.05896000,1703538599999,6643841.58792260,3983,107.87172000,4682878.67647160,0
1703538600000,43359.93000000,43412.36000000,43328.65000000,43411.10000000,112.25146000,1703538899999,4868036.39679180,3242,76.89548000,3334617.98874110,0
1703538900000,43411.10000000,43435.63000000,43387.18000000,43418.71000000,81.95725000,1703539199999,3558388.15999530,2511,36.25563000,1574020.09424460,0
1703539200000,43418.71000000,43434.75000000,43367.89000000,43367.90000000,89.26035000,1703539499999,3873786.80242480,2902,38.54380000,1673319.54610010,0
1703539500000,43367.91000000,43410.61000000,43363.99000000,43376.39000000,61.81632000,1703539799999,2682017.94563910,2569,40.98636000,1778422.95260140,0
1703539800000,43376.39000000,43381.10000000,43333.14000000,43381.10000000,96.97726000,1703540099999,4204423.36974120,3095,45.93736000,1991713.85600280,0
1703540100000,43381.10000000,43382.00000000,43350.38000000,43360.85000000,80.68978000,1703540399999,3498814.66494760,2405,43.30517000,1877745.61767860,0
